"TH"	"index"	"Tmin"	"Delta"	"n2"	"n3"	"n4"	"n5"	"n6"	"n7"	"n8"	"n12"	"On -1"	"On -2/-3"
11	2	15	178	4	1	0	0	0	0	0	0	"s1:11→1 / s2:1→1 / s3:1→1 / s4:1→1 / s5:1→1, 11→1"	"s2:12→1 / s3:12→1 / s4:10→1 / s5:2→1"
11	2	15	179	4	1	0	0	0	0	0	0	"s1:11→1 / s2:1→1 / s3:1→1 / s4:1→1, 11→1 / s5:1→3, 11→1"	"s2:12→1 / s3:10→1 / s4:2→1 / s5:6→1"
11	2	16	152	3	1	1	0	0	0	0	0	"{s1:11→1 / s2:1→1 / s4:1→1, 11→1 / s5:1→1, s1:11→1 / s2:1→1 / s4:1→1 / s5:1→1}"	"{s3:2→1 / s4:13→1 / s5:10→1, s3:2→1 / s4:10→1 / s5:6→1}"
11	2	16	172	3	2	0	0	0	0	0	0	"{s1:11→1 / s2:1→1, 11→1 / s4:1→1 / s5:1→1, s1:11→1 / s2:1→1, 11→1 / s4:1→1 / s5:1→2, 11→1, s1:11→1 / s2:1→1 / s3:11→1 / s4:1→1, 11→2 / s5:1→1, 11→2, s1:11→1 / s2:1→2, 11→1 / s4:1→1 / s5:1→1}"	"{s3:2→1 / s4:12→1 / s5:10→1, s3:2→1 / s4:12→1 / s5:6→1, s3:2→1 / s4:13→1 / s5:6→1, s3:2→1 / s4:12→1 / s5:10→1}"
11	2	16	178	4	1	0	0	0	0	0	0	"{s1:11→1 / s2:1→1 / s3:1→1 / s4:1→1 / s5:1→2, 11→1, s1:11→1 / s2:1→1 / s3:1→1 / s4:1→1 / s5:1→3, 11→1, s1:11→1 / s2:1→1 / s3:1→1 / s4:1→1 / s5:1→3, 11→2, s1:11→1 / s3:1→1 / s4:1→1 / s5:1→1, s1:11→1 / s3:1→1 / s4:1→1 / s5:1→2, 11→1, s1:11→1 / s3:1→1 / s4:1→1 / s5:1→3, 11→1, s1:11→1 / s3:1→1 / s4:1→1 / s5:1→3, 11→2}"	"{s2:12→1 / s3:12→1 / s4:10→1 / s5:6→1, s2:12→1 / s3:12→1 / s4:10→1 / s5:6→1, s2:12→1 / s3:12→1 / s4:10→1 / s5:2→1, s2:2→1 / s3:12→1 / s4:12→1 / s5:6→1, s2:2→1 / s3:12→1 / s4:10→1 / s5:12→1, s2:2→1 / s3:12→1 / s4:12→1 / s5:6→1, s2:2→1 / s3:12→1 / s4:10→1 / s5:12→1}"
11	2	16	179	4	1	0	0	0	0	0	0	"{s1:11→1 / s2:1→1 / s3:1→1 / s4:1→1, 11→1 / s5:1→2, 11→1, s1:11→1 / s3:1→1 / s4:1→1 / s5:1→2, 11→1, s1:11→1 / s3:1→1 / s4:1→1 / s5:1→3, 11→1, s1:11→1 / s3:1→1 / s4:1→1 / s5:1→3, 11→2}"	"{s2:12→1 / s3:10→1 / s4:2→1 / s5:6→1, s2:2→1 / s3:12→1 / s4:10→1 / s5:6→1, s2:2→1 / s3:12→1 / s4:10→1 / s5:6→1, s2:2→1 / s3:12→1 / s4:10→1 / s5:6→1}"
11	2	17	171	3	2	0	0	0	0	0	0	"s1:11→1 / s2:1→2, 11→1 / s4:1→1 / s5:1→1"	"s3:2→1 / s4:12→1 / s5:12→1"
11	2	17	178	4	1	0	0	0	0	0	0	"{s1:11→1 / s2:1→1 / s3:1→1 / s4:1→1, 11→1 / s5:1→2, 11→1, s1:11→1 / s2:1→1 / s3:1→1 / s4:1→1, 11→1 / s5:1→3, 11→1, s1:11→1 / s2:1→1 / s3:1→1 / s4:1→1 / s5:1→2, 11→2, s1:11→1 / s2:1→1 / s3:1→1 / s4:1→2 / s5:1→2, 11→1, s1:11→1 / s2:1→1 / s3:1→1 / s4:1→2 / s5:1→4, 11→1, s1:11→1 / s3:1→1 / s4:1→1 / s5:1→1, s1:11→1 / s3:1→1 / s4:1→1 / s5:1→3, 11→1, s1:11→1 / s3:1→1 / s4:1→1 / s5:1→4, 11→1, s1:11→1 / s3:1→1 / s4:1→1 / s5:1→4, 11→1, s1:11→1 / s3:1→1 / s4:1→2, 11→1 / s5:1→3, 11→2, s1:11→1 / s3:1→1 / s4:1→2 / s5:1→3, 11→1}"	"{s2:12→1 / s3:12→1 / s4:2→1 / s5:6→1, s2:12→1 / s3:12→1 / s4:2→1 / s5:6→1, s2:12→1 / s3:12→1 / s4:10→1 / s5:2→1, s2:12→1 / s3:12→1 / s4:10→1 / s5:2→1, s2:12→1 / s3:12→1 / s4:10→1 / s5:6→1, s2:2→1 / s3:12→1 / s4:12→1 / s5:10→1, s2:2→1 / s3:12→1 / s4:12→1 / s5:10→1, s2:2→1 / s3:12→1 / s4:12→1 / s5:10→1, s2:2→1 / s3:12→1 / s4:12→1 / s5:6→1, s2:2→1 / s3:12→1 / s4:12→1 / s5:6→1, s2:2→1 / s3:12→1 / s4:10→1 / s5:12→1}"
11	2	17	179	4	1	0	0	0	0	0	0	"s1:11→1 / s3:1→1 / s4:1→2 / s5:1→4, 11→1"	"s2:2→1 / s3:12→1 / s4:10→1 / s5:6→1"
11	2	18	121	2	2	0	1	0	0	0	0	"s1:1→1 / s2:11→1 / s3:11→1 / s5:11→1"	"s4:10→1 / s5:6→1"
